username,text,created_at,cleaned_text,sentiment
,"RT @girlsexof: Hi, nice to see you🥰

How was your day?😊

Ready to chat with you here👇
https://t.co/BEJue612xf

*by AI
#adult #nsfw #xxx #se…",2025-03-17 04:57:37+00:00,rt girlsexof hi nice see you🥰 day😊 ready chat here👇 ai adult nsfw xxx se…,positive
,"Hong Kong is looking to boost its position as a hub for emerging technologies with its latest #AI investment; meanwhile, Arm expands AI use cases with #IoT.

https://t.co/8DqPCaTRWa",2025-03-17 04:57:35+00:00,hong kong looking boost position hub emerging technologies latest ai investment meanwhile arm expands ai use cases iot,positive
,RT @CESS_Storage: LIVE NOW! Join us for an exclusive Space: #DeSci &amp; #AI – The Future of Scientific Collaboration 🎙️🔗 Tune in now: https://…,2025-03-17 04:57:34+00:00,rt cessstorage live join us exclusive space desci amp ai – future scientific collaboration 🎙️🔗 tune,positive
,🚀百度即将于3月中旬推出下一代AI模型Ernie，显著提升推理、创新和多模态处理能力！更强大的版本Ernie 5.0预计将在2025年下半年推出，助力百度在AI市场占据领先地位。准备好迎接新时代了吗？🤖🔍 #AI #科技创新,2025-03-17 04:57:31+00:00,🚀百度即将于3月中旬推出下一代ai模型ernie，显著提升推理、创新和多模态处理能力！更强大的版本ernie 50预计将在2025年下半年推出，助力百度在ai市场占据领先地位。准备好迎接新时代了吗？🤖🔍 ai 科技创新,neutral
,"RT @RicoCoinAI: Which type of #memecoin will pump the hardest next? 🤔

1️⃣ AI-driven memecoins 🤖
2️⃣ Classic dog coins 🐶
3️⃣ Community-buil…",2025-03-17 04:57:31+00:00,rt ricocoinai type memecoin pump hardest next 🤔 1️⃣ aidriven memecoins 🤖 2️⃣ classic dog coins 🐶 3️⃣ communitybuil…,neutral
,"RT @bender3031: #AI #aigirl #Cyberpunk #aiart #aiartwork #aiartcommunity #scifiart #virtualphotography #portraits 
Industrial Desire. https…",2025-03-17 04:57:31+00:00,rt bender3031 ai aigirl cyberpunk aiart aiartwork aiartcommunity scifiart virtualphotography portraits industrial desire,positive
,#Trading #Finance $DEX #Today $Today #USAToday #News $BTCO $BTC $HODL $BTCW $FBTC $EZBC $IBIT $BRRR $SOFI $DOGE $SHIB $ETH $AMC #China #Asia #London #Paris #Japan #UK #HongKong #Tokyo #France #Taiwan #Crypto #Tesla #Ethererum #Dogecoin #Shanghai #Shibainu #Fintech #AI #CNBC #xAI https://t.co/eX0VUIRxuc,2025-03-17 04:57:31+00:00,trading finance dex today today usatoday news btco btc hodl btcw fbtc ezbc ibit brrr sofi doge shib eth amc china asia london paris japan uk hongkong tokyo france taiwan crypto tesla ethererum dogecoin shanghai shibainu fintech ai cnbc xai,neutral
,"@gunsnrosesgirl3 AI so good, it's almost unfair.  Almost. 😉  PublicAI making moves!  #AI  #Data
@Boithebear",2025-03-17 04:57:29+00:00,gunsnrosesgirl3 ai good almost unfair almost 😉 publicai making moves ai data boithebear,positive
,"We introduce you to the automated #manufacturing equipment for experimental #coincell. 

https://t.co/aE3dacEDd3

#ai #battery https://t.co/eBKRyMn5p4",2025-03-17 04:57:26+00:00,introduce automated manufacturing equipment experimental coincell ai battery,neutral
,"RT @kaiysx1: No.914 41P yae miko
More R18+ picture👉https://t.co/O4ss449cIs #stablediffusion #Realistic #aigirls #AIart #Ai美女 #Ai少女 #ai生产 #A…",2025-03-17 04:57:26+00:00,rt kaiysx1 no914 41p yae miko r18 picture👉 stablediffusion realistic aigirls aiart ai美女 ai少女 ai生产 a…,neutral
,RT @CESS_Storage: LIVE NOW! Join us for an exclusive Space: #DeSci &amp; #AI – The Future of Scientific Collaboration 🎙️🔗 Tune in now: https://…,2025-03-17 04:57:23+00:00,rt cessstorage live join us exclusive space desci amp ai – future scientific collaboration 🎙️🔗 tune,positive
,"RT @VirtuSwap: The new epoch has arrived! 🎉

1,000,000 $VRSW tokens up for grabs for VirtuSwap liquidity providers in the new epoch! 🔥

Ear…",2025-03-17 04:57:22+00:00,rt virtuswap new epoch arrived 🎉 1000000 vrsw tokens grabs virtuswap liquidity providers new epoch 🔥 ear…,neutral
,"🔞Doraemon ／ ドラえもん（3）

 Classic scenes from famous Japanese cartoons！

#AI-generated Images https://t.co/BIsNh2zJeW",2025-03-17 04:57:21+00:00,🔞doraemon ／ ドラえもん（3） classic scenes famous japanese cartoons！ aigenerated images,neutral
,RT @BS_comics: Mulan released... check out the links to my sites. I do 3D and Ai comics #nsfw #nsfwtwt #rule34 #r34 #sfm #3DCG #aiart #sexy…,2025-03-17 04:57:21+00:00,rt bscomics mulan released check links sites 3d ai comics nsfw nsfwtwt rule34 r34 sfm 3dcg aiart sexy…,neutral
,"RT @dreamsartdesire: Schoolgirl Kate 🏳️‍⚧️
inspired by @kateumaruwu
#femboy #ai #sissy #lewd #trap #aiphoto #tgirl #aiart https://t.co/swXi…",2025-03-17 04:57:18+00:00,rt dreamsartdesire schoolgirl kate 🏳️‍⚧️ inspired kateumaruwu femboy ai sissy lewd trap aiphoto tgirl aiart,positive
,"RT @shabalahoho: Avan Geiserford | Strip Club | Jock Studio NSFW 🔞

Avan's secret sideline job. 🥵💵

#AIart #yaoi #NSFW #R18 #AI #jockstudio…",2025-03-17 04:57:16+00:00,rt shabalahoho avan geiserford strip club jock studio nsfw 🔞 avans secret sideline job 🥵💵 aiart yaoi nsfw r18 ai jockstudio…,neutral
,"Lu Shaotang ❤️

#lushaotang #lu #sakamotodays #anime #animewaifu #Animeecchi #waifu #ecchi #waifuanime #bestwaifu #AIart #AIgirl #AI #AIArtistCommunity #aiwaifus #lewd #art #nsfw #rule34 #r18 #hentai https://t.co/kfdaeSI5aP",2025-03-17 04:57:11+00:00,lu shaotang ❤️ lushaotang lu sakamotodays anime animewaifu animeecchi waifu ecchi waifuanime bestwaifu aiart aigirl ai aiartistcommunity aiwaifus lewd art nsfw rule34 r18 hentai,neutral
,"@RealitysVip 🚨 ALERTA PARA AS TORCIDAS 🚨

Gracyanne vs Eva, uma disputa como a busca por dados precisos em #AI! @PublicAIData sabe que a verdadeira vitória é na criação de oportunidades justas! #BBB25 #RedeBBB",2025-03-17 04:57:10+00:00,realitysvip 🚨 alerta para torcidas 🚨 gracyanne vs eva uma disputa como busca por dados precisos em ai publicaidata sabe que verdadeira vitória é na criação de oportunidades justas bbb25 redebbb,neutral
,"RT @kaiysx1: No.912 76P shenhe(genshin)
More R18+ picture👉https://t.co/O4ss449cIs
#stablediffusion #Realistic #aigirls #AIart #Ai美女 #Ai少女 #…",2025-03-17 04:57:05+00:00,rt kaiysx1 no912 76p shenhegenshin r18 picture👉 stablediffusion realistic aigirls aiart ai美女 ai少女 …,neutral
,@pergamon_ai #defai #ai #avax,2025-03-17 04:57:04+00:00,pergamonai defai ai avax,neutral
,"Julian’s #Promise to the #World
#freegrok #defineallintelligence #ai https://t.co/lG1RT4Ibnr",2025-03-17 04:57:00+00:00,julian’s promise world freegrok defineallintelligence ai,positive
,Check out iRender Telegram Mini App! 🚀 Join the future of decentralized rendering. #iRender #AI #Web3 lewat @irenderai,2025-03-17 04:56:57+00:00,check irender telegram mini app 🚀 join future decentralized rendering irender ai web3 lewat irenderai,positive
,"@elonmusk Brain gainz for everyone! 💪  PublicAI turns data labeling into rewarding opportunities, so you can level up your skills while helping build better AI.  #AI #datascience",2025-03-17 04:56:55+00:00,elonmusk brain gainz everyone 💪 publicai turns data labeling rewarding opportunities level skills helping build better ai ai datascience,positive
,"RT @AiMenpics: Kogoro 😉🔥
#Kogoro #DetectiveConan #Gay #Bara #Ai #DILF https://t.co/niYLHee3is",2025-03-17 04:56:50+00:00,rt aimenpics kogoro 😉🔥 kogoro detectiveconan gay bara ai dilf,neutral
,"RT @DreamZhin: ECHOES IN THE SILENCE 🌿🌙

#NewYear #NFTs #AIart #Digitalart #Conceptart #AI #NFT #Ethereum #OpenSea #Echoes #Art #BTC #X 

""…",2025-03-17 04:56:50+00:00,rt dreamzhin echoes silence 🌿🌙 newyear nfts aiart digitalart conceptart ai nft ethereum opensea echoes art btc x …,neutral
,#Doge #ATOM #JTO #STARK #GRT #MKR  #WBTC #XAI #ASR #BADGER #FXS #LUNA #Babydoge #XRP #DOT #FTM #Sei #AR #ALGO #FLOW #BNT #WAVES #TRU #MTL #ZETA #IOTX #MAV #CHR #ATA #Altcoin #Today #News #Bets #Buy #Up #Viral #Vip #AI #EA @EA @okx #OKX #Bybit @Bybit_Official @binance #Binance https://t.co/dkqI03QBDO,2025-03-17 04:56:49+00:00,doge atom jto stark grt mkr wbtc xai asr badger fxs luna babydoge xrp dot ftm sei ar algo flow bnt waves tru mtl zeta iotx mav chr ata altcoin today news bets buy viral vip ai ea ea okx okx bybit bybitofficial binance binance,positive
,"RT @girlstar727: No.490 80P fox girl
More R18+ picture👉 https://t.co/d3MUWlnm89 #girlstar #Realistic #aigirls #AIart #ai生产 #AI生成 #Ai #3D #R…",2025-03-17 04:56:45+00:00,rt girlstar727 no490 80p fox girl r18 picture👉 girlstar realistic aigirls aiart ai生产 ai生成 ai 3d r…,neutral
,"RT @ShadowSamurai99: Lê Bống
#Hentai 
#Nude
#Ai https://t.co/iQTN5CWYMf",2025-03-17 04:56:45+00:00,rt shadowsamurai99 lê bống hentai nude ai,neutral
,#Doge #ATOM #JTO #STARK #GRT #MKR  #WBTC #XAI #ASR #BADGER #FXS #LUNA #Babydoge #XRP #DOT #FTM #Sei #AR #ALGO #FLOW #BNT #WAVES #TRU #MTL #ZETA #IOTX #MAV #CHR #ATA #Altcoin #Today #News #Bets #Buy #Up #Viral #Vip #AI #EA @EA @okx #OKX #Bybit @Bybit_Official @binance #Binance https://t.co/0EPtZVTOVc,2025-03-17 04:56:43+00:00,doge atom jto stark grt mkr wbtc xai asr badger fxs luna babydoge xrp dot ftm sei ar algo flow bnt waves tru mtl zeta iotx mav chr ata altcoin today news bets buy viral vip ai ea ea okx okx bybit bybitofficial binance binance,positive
,RT @booster_rex: po &amp; Tai lung  ( kung fu panda  ) #AI #AIArtwork #furryart #nsfwtw #kungfupandafanart #male #penis #porn #fanart https://t…,2025-03-17 04:56:42+00:00,rt boosterrex po amp tai lung kung fu panda ai aiartwork furryart nsfwtw kungfupandafanart male penis porn fanart,negative
,"AI ethics isn't just a subplot—it's the main quest. Meta’s moves scream 'algorithmic gaslighting,' where transparency is a shader they forgot to render. Code better, live better. #G #AI #Tech",2025-03-17 04:56:39+00:00,ai ethics isnt subplot—its main quest meta’s moves scream algorithmic gaslighting transparency shader forgot render code better live better g ai tech,positive
,"Hey there, my latest discovery as someone who loves tech, and I've found something that's going to excite you too. #SANA a fast #AI image gen. Don't forget to use #NVIDIA when you share your thoughts about it. https://t.co/1m6e834Idn It's also on Github for free.",2025-03-17 04:56:39+00:00,hey latest discovery someone loves tech ive found something thats going excite sana fast ai image gen dont forget use nvidia share thoughts also github free,positive
,"RT @girlstar727: No.491 57P dragon girl
More R18+ picture👉 https://t.co/d3MUWlnm89 #girlstar #Realistic #aigirls #AIart #ai生产 #AI生成 #Ai #3D…",2025-03-17 04:56:38+00:00,rt girlstar727 no491 57p dragon girl r18 picture👉 girlstar realistic aigirls aiart ai生产 ai生成 ai 3d…,neutral
,"RT @ErikAgu04593309: Kama (Assasin) 
Fate grand order 
#AI #NSFW #FATEGO https://t.co/Lr1BcjB5wJ",2025-03-17 04:56:32+00:00,rt erikagu04593309 kama assasin fate grand order ai nsfw fatego,positive
,RT @CESS_Storage: LIVE NOW! Join us for an exclusive Space: #DeSci &amp; #AI – The Future of Scientific Collaboration 🎙️🔗 Tune in now: https://…,2025-03-17 04:56:28+00:00,rt cessstorage live join us exclusive space desci amp ai – future scientific collaboration 🎙️🔗 tune,positive
,#Bitcoin #crypto #BitcoinNews #bitcoinprice #BitcoinWhale #BTC #BTCnews #BTCprice #BTCWhale #btcusd #news #NewsBTC #Whale #Whal #BCH #BitcoinCash #altcoin #altcoins #Altcoin #altcoins #altcoinseason #AI #ML #DL #kripto #Bullrun #Bullish #BullMarket #Today #Token #Coin #web #Com https://t.co/F7lhNfiB1F,2025-03-17 04:56:27+00:00,bitcoin crypto bitcoinnews bitcoinprice bitcoinwhale btc btcnews btcprice btcwhale btcusd news newsbtc whale whal bch bitcoincash altcoin altcoins altcoin altcoins altcoinseason ai ml dl kripto bullrun bullish bullmarket today token coin web com,neutral
,"RT @cocoon_web4160: https://t.co/tMAcTwfkjx https://t.co/3X3PE6bXqy…
(fiber),#arachnid,#web,#Wrapped,#Halloween,#ghost,#horror,#Superheroes…",2025-03-17 04:56:27+00:00,rt cocoonweb4160 fiberarachnidwebwrappedhalloweenghosthorrorsuperheroes…,neutral
,"RT @Haru_A1art: Nakroth, In the pool at night.🌊🌕

#AI #AIart #AIart_BL
#Nakroth #AOV #rov #yaoi  #r18 #nsfw #bl https://t.co/xT0W1o2FML",2025-03-17 04:56:25+00:00,rt harua1art nakroth pool night🌊🌕 ai aiart aiartbl nakroth aov rov yaoi r18 nsfw bl,positive
